idhogar,escolari_person,v2a1,rooms,refrig,v18q1,r4t1,hhsize,cielorazo,dependency,edje,meaneduc,overcrowding,computer,television,qmobilephone,escolari_head,mobilephone,pared,energco,piso,epared,eviv,etecho,tipovivi1,tipovivi2,tipovivi3,tipovivi4,tipovivi5,lugar1,lugar2,lugar3,lugar4,lugar5,lugar6,estadocivil1,estadocivil3,estadocivil4,instlevel1,instlevel2,instlevel5,instlevel7,instlevel8,instlevel9,instlevel,Youth,Target
001ff74ca,8.0,0.0,6,1,1.0,1,2,1,1.0,16.0,16.0,0.5,0,0,1,16,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,5,0.5,4
003123ec2,3.25,0.0,3,1,0.0,2,4,0,1.0,6.0,6.5,2.0,0,0,2,6,1,2,2,2,2.0,1.0,3.0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,3,0.5,2
006031de3,9.25,180000.0,4,1,2.0,2,4,1,1.0,15.0,15.5,2.0,0,0,2,15,1,3,2,3,2.0,2.0,2.0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,2,0,5,0.5,4
006555fe2,10.4,0.0,6,1,0.0,0,5,1,0.66666669,4.0,10.4,1.25,0,1,4,4,1,3,2,3,2.0,3.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,2,0,2,0.0,4
00693f597,7.5,150000.0,4,1,0.0,1,4,1,1.0,9.0,10.0,2.0,0,0,3,9,1,3,2,3,2.0,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0.25,4
006b64543,7.0,0.0,4,1,0.0,0,2,1,0.0,3.0,7.0,1.0,0,0,2,3,1,3,2,3,2.0,3.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,2,0.0,4
00941f1f4,6.25,50000.0,4,1,0.0,0,4,1,1.0,2.0,6.25,2.0,0,0,0,2,0,3,2,3,2.0,3.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,2,0.0,1
009ae1cec,7.0,0.0,4,1,0.0,1,3,1,2.0,11.0,11.0,1.5,0,0,1,11,1,2,2,3,2.0,3.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0.3333333333333333,2
00e3e05c5,5.333333333333333,0.0,5,1,0.0,1,3,1,0.5,9.0,8.0,1.5,0,0,2,9,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,3,0.3333333333333333,4
00e443b00,14.0,205000.0,3,1,0.0,0,1,1,0.0,14.0,14.0,0.5,0,0,1,14,1,3,2,3,2.0,3.0,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0.0,4
